Time_Offset_Sec,H1_Strain_Masked
0.135742,1.296070e-18
0.135986,1.256838e-18
0.136230,1.287395e-18
0.136475,1.313885e-18
0.136719,1.278503e-18
0.136963,1.272944e-18
0.137207,1.270055e-18
0.137451,1.267277e-18
0.137695,1.262695e-18
0.137939,1.215060e-18
0.138184,1.232479e-18
0.138428,1.273015e-18
0.138672,1.235778e-18
0.138916,1.224788e-18
0.139160,1.223485e-18
0.139404,1.211686e-18
0.139648,1.219437e-18
0.139893,1.172245e-18
0.140137,1.168742e-18
0.140381,1.222201e-18
0.140625,1.189643e-18
0.140869,1.168780e-18
0.141113,1.173168e-18
0.141357,1.150307e-18
0.141602,1.164448e-18
0.141846,1.128527e-18
0.142090,1.099456e-18
0.142334,1.160112e-18
0.142578,1.141011e-18
0.142822,1.103505e-18
0.143066,1.116422e-18
0.143311,1.087523e-18
0.143555,1.095934e-18
0.143799,1.081433e-18
0.144043,1.030551e-18
0.144287,1.085204e-18
0.144531,1.089423e-18
0.144775,1.034486e-18
0.145020,1.050648e-18
0.145264,1.025402e-18
0.145508,1.016984e-18
0.145752,1.026062e-18
0.145996,9.650649e-19
0.146240,9.989125e-19
0.146484,1.031230e-18
0.146729,9.652760e-19
0.146973,9.746375e-19
0.147217,9.632836e-19
0.147461,9.329942e-19
0.147705,9.589349e-19
0.147949,9.038613e-19
0.148193,9.058401e-19
0.148438,9.628174e-19
0.148682,8.987815e-19
0.148926,8.881193e-19
0.149170,8.974630e-19
0.149414,8.505850e-19
0.149658,8.772728e-19
0.149902,8.446120e-19
0.150146,8.135151e-19
0.150391,8.805896e-19
0.150635,8.357184e-19
0.150879,7.977184e-19
0.151123,8.237389e-19
0.151367,7.731237e-19
0.151611,7.834634e-19
0.151855,7.814179e-19
0.152100,7.272211e-19
0.152344,7.848886e-19
0.152588,7.714023e-19
0.152832,7.081174e-19
0.153076,7.394310e-19
0.153320,7.002268e-19
0.153564,6.847476e-19
0.153809,7.093014e-19
0.154053,6.483332e-19
0.154297,6.808376e-19
0.154541,7.007980e-19
0.154785,6.237319e-19
0.155029,6.452244e-19
0.155273,6.281035e-19
0.155518,5.865871e-19
0.155762,6.240478e-19
0.156006,5.770434e-19
0.156250,5.754641e-19
0.156494,6.199237e-19
0.156738,5.465777e-19
0.156982,5.445771e-19
0.157227,5.530160e-19
0.157471,4.943572e-19
0.157715,5.273143e-19
0.157959,5.073124e-19
0.158203,4.742529e-19
0.158447,5.277156e-19
0.158691,4.737225e-19
0.158936,4.431863e-19
0.159180,4.710996e-19
0.159424,4.105188e-19
0.159668,4.232130e-19
0.159912,4.339314e-19
0.160156,3.830617e-19
0.160400,4.247803e-19
0.160645,4.002909e-19
0.160889,3.471009e-19
0.161133,3.793500e-19
0.161377,3.318362e-19
0.161621,3.191580e-19
0.161865,3.523963e-19
0.162109,2.999878e-19
0.162354,3.197584e-19
0.162598,3.232846e-19
0.162842,2.573253e-19
0.163086,2.832578e-19
0.163330,2.564984e-19
0.163574,2.177889e-19
0.163818,2.620774e-19
0.164062,2.240774e-19
0.164307,2.159851e-19
0.164551,2.384223e-19
0.164795,1.744792e-19
0.165039,1.835043e-19
0.165283,1.796812e-19
0.165527,1.248446e-19
0.165771,1.647872e-19
0.166016,1.510840e-19
0.166260,1.187465e-19
0.166504,1.477395e-19
0.166748,9.752309e-20
0.166992,8.463778e-20
0.167236,9.917516e-20
0.167480,4.004823e-20
0.167725,6.364095e-20
0.167969,7.648085e-20
0.168213,3.052061e-20
0.168457,5.278472e-20
0.168701,2.247879e-20
0.168945,-8.318702e-21
0.169189,1.570136e-20
0.169434,-3.760560e-20
0.169678,-3.658622e-20
0.169922,-1.350248e-21
0.170166,-4.903766e-20
0.170410,-4.310956e-20
0.170654,-5.366068e-20
0.170898,-9.576526e-20
0.171143,-7.079232e-20
0.171387,-1.096347e-19
0.171631,-1.319789e-19
0.171875,-8.478967e-20
0.172119,-1.203893e-19
0.172363,-1.349804e-19
0.172607,-1.318235e-19
0.172852,-1.757009e-19
0.173096,-1.585401e-19
0.173340,-1.788571e-19
0.173584,-2.196823e-19
0.173828,-1.722735e-19
0.174072,-1.873966e-19
0.174316,-2.203432e-19
0.174561,-2.105460e-19
0.174805,-2.494840e-19
0.175049,-2.438737e-19
0.175293,-2.464941e-19
0.175537,-2.979461e-19
0.175781,-2.602638e-19
0.176025,-2.525950e-19
0.176270,-2.970574e-19
0.176514,-2.905788e-19
0.176758,-3.187095e-19
0.177002,-3.252531e-19
0.177246,-3.143623e-19
0.177490,-3.671040e-19
0.177734,-3.474155e-19
0.177979,-3.177707e-19
0.178223,-3.646617e-19
0.178467,-3.687733e-19
0.178711,-3.841033e-19
0.178955,-4.014936e-19
0.179199,-3.823180e-19
0.179443,-4.277973e-19
0.179688,-4.296942e-19
0.179932,-3.843098e-19
0.180176,-4.236577e-19
0.180420,-4.429362e-19
0.180664,-4.475772e-19
0.180908,-4.700599e-19
0.181152,-4.502259e-19
0.181396,-4.817803e-19
0.181641,-5.033043e-19
0.181885,-4.537205e-19
0.182129,-4.761958e-19
0.182373,-5.092305e-19
0.182617,-5.094495e-19
0.182861,-5.313572e-19
0.183105,-5.154932e-19
0.183350,-5.316400e-19
0.183594,-5.670352e-19
0.183838,-5.222320e-19
0.184082,-5.242556e-19
0.184326,-5.671042e-19
0.184570,-5.692386e-19
0.184814,-5.860579e-19
0.185059,-5.771741e-19
0.185303,-5.790638e-19
0.185547,-6.202447e-19
0.185791,-5.885919e-19
0.186035,-5.706902e-19
0.186279,-6.152107e-19
0.186523,-6.248824e-19
0.186768,-6.352731e-19
0.187012,-6.323165e-19
0.187256,-6.244568e-19
0.187500,-6.639548e-19
0.187744,-6.483984e-19
0.187988,-6.165625e-19
0.188232,-6.547957e-19
0.188477,-6.744550e-19
0.188721,-6.807656e-19
0.188965,-6.808445e-19
0.189209,-6.669285e-19
0.189453,-7.000754e-19
0.189697,-6.996264e-19
0.189941,-6.613106e-19
0.190186,-6.877234e-19
0.190430,-7.153404e-19
0.190674,-7.213468e-19
0.190918,-7.228155e-19
0.191162,-7.061655e-19
0.191406,-7.303609e-19
0.191650,-7.415113e-19
0.191895,-7.039689e-19
0.192139,-7.167915e-19
0.192383,-7.483900e-19
0.192627,-7.565873e-19
0.192871,-7.583773e-19
0.193115,-7.396110e-19
0.193359,-7.547211e-19
0.193604,-7.741387e-19
0.193848,-7.408068e-19
0.194092,-7.421603e-19
0.194336,-7.733865e-19
0.194580,-7.848837e-19
0.194824,-7.892705e-19
0.195068,-7.685239e-19
0.195312,-7.739551e-19
0.195557,-7.991190e-19
0.195801,-7.712951e-19
0.196045,-7.640066e-19
0.196289,-7.920500e-19
0.196533,-8.043791e-19
0.196777,-8.134380e-19
0.197021,-7.928656e-19
0.197266,-7.877939e-19
0.197510,-8.163429e-19
0.197754,-7.951991e-19
0.197998,-7.809948e-19
0.198242,-8.055226e-19
0.198486,-8.168574e-19
0.198730,-8.293615e-19
0.198975,-8.129287e-19
0.199219,-7.962193e-19
0.199463,-8.250308e-19
0.199707,-8.128955e-19
0.199951,-7.916038e-19
0.200195,-8.150055e-19
0.200439,-8.233377e-19
0.200684,-8.359415e-19
0.200928,-8.298159e-19
0.201172,-8.010218e-19
0.201416,-8.256533e-19
0.201660,-8.250538e-19
0.201904,-7.962318e-19
0.202148,-8.183096e-19
0.202393,-8.255954e-19
0.202637,-8.328225e-19
0.202881,-8.391240e-19
0.203125,-8.033163e-19
0.203369,-8.169517e-19
0.203613,-8.296411e-19
0.203857,-7.965530e-19
0.204102,-8.145406e-19
0.204346,-8.255350e-19
0.204590,-8.229850e-19
0.204834,-8.393589e-19
0.205078,-8.054894e-19
0.205322,-8.017407e-19
0.205566,-8.252542e-19
0.205811,-7.933232e-19
0.206055,-8.017110e-19
0.206299,-8.198371e-19
0.206543,-8.078902e-19
0.206787,-8.280359e-19
0.207031,-8.049430e-19
0.207275,-7.826449e-19
0.207520,-8.116888e-19
0.207764,-7.869781e-19
0.208008,-7.825992e-19
0.208252,-8.095227e-19
0.208496,-7.905001e-19
0.208740,-8.064708e-19
0.208984,-8.000510e-19
0.209229,-7.614375e-19
0.209473,-7.875082e-19
0.209717,-7.761699e-19
0.209961,-7.590343e-19
0.210205,-7.909140e-19
0.210449,-7.725350e-19
0.210693,-7.761566e-19
0.210938,-7.868072e-19
0.211182,-7.423321e-19
0.211426,-7.547929e-19
0.211670,-7.591490e-19
0.211914,-7.327893e-19
0.212158,-7.635523e-19
0.212402,-7.530468e-19
0.212646,-7.400146e-19
0.212891,-7.638628e-19
0.213135,-7.231627e-19
0.213379,-7.158717e-19
0.213623,-7.341406e-19
0.213867,-7.053490e-19
0.214111,-7.289101e-19
0.214355,-7.305089e-19
0.214600,-7.019009e-19
0.214844,-7.298431e-19
0.215088,-7.026857e-19
0.215332,-6.752896e-19
0.215576,-7.001508e-19
0.215820,-6.760108e-19
0.216064,-6.877793e-19
0.216309,-7.026816e-19
0.216553,-6.634448e-19
0.216797,-6.862017e-19
0.217041,-6.783042e-19
0.217285,-6.352976e-19
0.217529,-6.577706e-19
0.217773,-6.434630e-19
0.218018,-6.426649e-19
0.218262,-6.685869e-19
0.218506,-6.264862e-19
0.218750,-6.343953e-19
0.218994,-6.471163e-19
0.219238,-5.972842e-19
0.219482,-6.075634e-19
0.219727,-6.071865e-19
0.219971,-5.958928e-19
0.220215,-6.265023e-19
0.220459,-5.895671e-19
0.220703,-5.791978e-19
0.220947,-6.079332e-19
0.221191,-5.598363e-19
0.221436,-5.539160e-19
0.221680,-5.657811e-19
0.221924,-5.472990e-19
0.222168,-5.784288e-19
0.222412,-5.536423e-19
0.222656,-5.220377e-19
0.222900,-5.593480e-19
0.223145,-5.239030e-19
0.223389,-4.982336e-19
0.223633,-5.183598e-19
0.223877,-4.990483e-19
0.224121,-5.244469e-19
0.224365,-5.150004e-19
0.224609,-4.659293e-19
0.224854,-5.030600e-19
0.225098,-4.864915e-19
0.225342,-4.429647e-19
0.225586,-4.656483e-19
0.225830,-4.503114e-19
0.226074,-4.657050e-19
0.226318,-4.739599e-19
0.226562,-4.130477e-19
0.226807,-4.386741e-19
0.227051,-4.466210e-19
0.227295,-3.902368e-19
0.227539,-4.070201e-19
0.227783,-4.020141e-19
0.228027,-4.042821e-19
0.228271,-4.283317e-19
0.228516,-3.649800e-19
0.228760,-3.695318e-19
0.229004,-4.019410e-19
0.229248,-3.409822e-19
0.229492,-3.448589e-19
0.229736,-3.539083e-19
0.229980,-3.410453e-19
0.230225,-3.763426e-19
0.230469,-3.229471e-19
0.230713,-2.980841e-19
0.230957,-3.501276e-19
0.231201,-2.972806e-19
0.231445,-2.789989e-19
0.231689,-3.042279e-19
0.231934,-2.821914e-19
0.232178,-3.163487e-19
0.232422,-2.849981e-19
0.232666,-2.307584e-19
0.232910,-2.889419e-19
0.233154,-2.589863e-19
0.233398,-2.143443e-19
0.233643,-2.501968e-19
0.233887,-2.288404e-19
0.234131,-2.507891e-19
0.234375,-2.468657e-19
0.234619,-1.713298e-19
0.234863,-2.195712e-19
0.235107,-2.216903e-19
0.235352,-1.552273e-19
0.235596,-1.903664e-19
0.235840,-1.813638e-19
0.236084,-1.825507e-19
0.236328,-2.042549e-19
0.236572,-1.237510e-19
0.236816,-1.433545e-19
0.237061,-1.813460e-19
0.237305,-1.056322e-19
0.237549,-1.240747e-19
0.237793,-1.383182e-19
0.238037,-1.183299e-19
0.238281,-1.536160e-19
0.238525,-8.720537e-20
0.238770,-6.879362e-20
0.239014,-1.332632e-19
0.239258,-6.678359e-20
0.239502,-5.560723e-20
0.239746,-9.396809e-20
0.239990,-6.205974e-20
0.240234,-9.398886e-20
0.240479,-5.655481e-20
0.240723,-2.216075e-21
0.240967,-7.456353e-20
0.241211,-3.667310e-20
0.241455,8.431715e-21
0.241699,-4.403773e-20
0.241943,-1.693855e-20
0.242188,-2.986875e-20
0.242432,-2.576287e-20
0.242676,5.044136e-20
0.242920,-6.297826e-21
0.243164,-9.581192e-21
0.243408,6.213512e-20
0.243652,1.322888e-20
0.243896,1.834419e-20
0.244141,3.184472e-20
0.244385,1.108128e-20
0.244629,8.716173e-20
0.244873,6.355829e-20
0.245117,2.209671e-20
0.245361,1.012152e-19
0.245605,7.434945e-20
0.245850,5.078961e-20
0.246094,8.527219e-20
0.246338,5.691458e-20
0.246582,1.123294e-19
0.246826,1.277925e-19
0.247070,6.289243e-20
0.247314,1.264253e-19
0.247559,1.337390e-19
0.247803,8.559797e-20
0.248047,1.248018e-19
0.248291,1.072313e-19
0.248535,1.323708e-19
0.248779,1.792384e-19
0.249023,1.129616e-19
0.249268,1.442387e-19
